Reference,Title,Release,Shelf Date,Specs,Genre
ML102233,2001: A Space Odyssey,1968,1992-01-08,LBX/SRD,Sci-Fi
1874-80,29th Street,1991,1992-05-28,P&S/SRD,Holiday
CC1177L,8 1/2: Criterion #71,1963,1989-06,LBX,Arthouse
ML100973,9 1/2 Weeks,1986,1986,SRD,Romance
11786,Above the Law,1988,1988,SRD,Action
1561-85,The Abyss,1989,1990-06-01,LBX/SRD,Action
ID2037AC,Across The Tracks,1991,1992-10-08,P&S/SRD,Drama
VL5056,The Adventures of Buckaroo Banzai,1984,1985,P&S/SRD/ANA,Sci-Fi
30983,Adventures of the Galaxy Rangers,1986,1989,ANA,Animation
8760-85,Alien,1979,1995-12-06,LBX/AC3/THX,Sci-Fi
5593-85,Alien 3,1992,1992-12-04,LBX/SRD,Sci-Fi
8761-85,Aliens,1986,1995-12-06,LBX/AC3/+CAV/THX,Sci-Fi
ID7600VK,American Eagle,1989,,P&S/SRD,Action
LDCVM5735,American Kickboxer 2,1992,1993-08-04,P&S,Action
ID5161,American Ninja 2: The Confrontation,1987,,P&S,Action
LV33138-WS,Andre,1994,1995-02-28,LBX/SRD,Family
LV20107,Angel and the Badman,1947,1990-09-30,,Drama
LV 32386,Another 48 HRS.,1990,1990-11-15,P&S/SRD,Action
75585,Another Country,1984,1984,ANA,Drama
42580,Apollo 13,1995,1995-11-28,LBX/SRD/THX,Drama
11321 A/B,Around the World in 80 Days,1956,1987,P&S/ANA,Family
ID3965LI,Austin Powers: International Man of Mystery: Special Edition,1997,1997-10-22,LBX/AC3,Comedy
42692,Babe,1995,1996-03-19,LBX/SRD,Family
LV31980,Back to the Beach,1987,1987,P&S/SRD,Comedy
40914,Back to the Future Part II,1989,1991-04-07,SRD,Sci-Fi
LD 60186,Bad Blood (Viper),1994,1995-05-09,P&S/SRD,Action
11086,Battle of the Bulge,1965,1991-04-03,LBX/SRD,Action
1325 AS,Beauty and the Beast,1991,1993-09-29,P&S/SRD,Family
41222,Beethoven,1992,1992-10-08,P&S/SRD/+CAV,Family
25206,Big Night,1996,1997-06-24,LBX/SRD,Drama
ID8561OR,Bill & Ted's Bogus Journey,1991,1992-02-27,P&S/SRD,Sci-Fi
1337 AS,Billy Bathgate,1991,1992-06-04,LBX/SRD,Drama
LV32220-2,Black Rain,1989,1990,P&S/SRD,Action
LDCVM5553WS,Black Robe,1991,1992-05-14,LBX/SRD,Drama
4503-80,The Black Stallion,1979,1981,P&S/ANA,Family
ID7721MN,Blackout,1989,1990,P&S/SRD,Action
78696,Blankman,1994,1995-03-07,LBX/SRD,Comedy
ML105129,Blown Away,1994,1994-12-14,LBX/SRD/+CAV,Action
13027,Body Snatchers,1993,1994-07-13,LBX/SRD/+CAV,Sci-Fi
VLD 2293,Das Boot (The Boat),1981,1992-10-15,SRD,Foreign
ID6166RC,Born Free,1966,1987,P&S,Family
40171,Brazil,1985,1986-08,SRD,Sci-Fi
ID7319HB,Breaking In,1989,1990,P&S,Comedy
0896385,Broken Arrow,1996,1996-07-31,LBX/AC3/THX,Action
1098-80,Brubaker,1980,1983,P&S/ANA,Action
LV40150,Call to Glory,1984,,ANA,TV Series
94636,Candyman,1992,1993-03-17,P&S/SRD,Horror
