Game,System,
Forbidden Forest,Atari 400,
Galaxian,Atari 400,
Q'Bert,Atari 400,
Art of Fighting,SNES,
Batman Forever,SNES,
Bulls Vs Blazers *,SNES,
Drakkhen,SNES,
Donkey Kong Country 2,SNES,
Everdrive 2.3,SNES,
Final Fight,SNES,
Game Genie,SNES,
Illusion of Gaia *,SNES,
Jurassic Park,SNES,
Jurassic Park II: The Chaos Continues,SNES,
Ken Griffey MLB *,SNES,
Killer Instinct,SNES,
Lagoon,SNES,
Legend of Zelda A Link to The Past,SNES,
Mario Paint,SNES,
Mystic Quest,SNES,
Mortal Kombat ***,SNES,
Paladin's Quest,SNES,
Saturday Night SlamMasters,SNES,
Scooby Doo Mystery,SNES,
Spider ManX-Men Arcade Revenge,SNES,
The Skins Game,SNES,
Super GameBoy,SNES,
Super Mario World,SNES,
Super Mario All Stars,SNES,
Super Star Wars,SNES,
Super Empire Strikes Back,SNES,
Super Return of the Jedi ,SNES,
Street Fighter II Turbo,SNES,
Tetris 2,SNES,
Donkey Kong Country *,Super Famicom,
Donkey Kong Country III,Super Famicom,
Kid Klown,Super Famicom,
Super Mario Kart,Super Famicom,
Super Mario World 2: Yoshi's Island,Super Famicom,
Armorines: Project Swarm,Nintendo 64,
Battle Tanx,Nintendo 64,
Battle Tanx: Global Assault,Nintendo 64,
Beetle Adventure Racing,Nintendo 64,
Blast Corps,Nintendo 64,
California Speed,Nintendo 64,
Dark Rift,Nintendo 64,
Fighters Destiny,Nintendo 64,
Gauntlet Legends,Nintendo 64,
Gex64,Nintendo 64,
Goldeneye 007,Nintendo 64,
Hybrid Heaven,Nintendo 64,
Jet Force Gemini,Nintendo 64,
Off Road Challenge,Nintendo 64,
Perfect Dark,Nintendo 64,
Rayman 2,Nintendo 64,
Rugrats in Paris GRY VAR,Nintendo 64,
Starfox 64,Nintendo 64,
Star Wars Rogue Squadron,Nintendo 64,
Star Wars Shows of the Empire,Nintendo 64,
Super Smash Bros,Nintendo 64,
Turok 2,Nintendo 64,
Vigilante 8,Nintendo 64,
Vigilante 8 2nd Offense,Nintendo 64,
Wave Race 64,Nintendo 64,
WCW mahem,Nintendo 64,
WCW vs NWO: World Tour,Nintendo 64,
WCW/NWO: Revenge,Nintendo 64,
WWF War Zone,Nintendo 64,
WWF No Mercy,Nintendo 64,
Bloody Roar: Primal Fury,GameCube,
