id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder,Game,System,Unnamed: 2
3865.0,Perfect Dark,Nintendo 64,2351.0,Item only,Normal wear,,,0.0,1.0,2024-09-03,,,,,,,
30341.0,WWE Smackdown vs. Raw 2011,Playstation 3,2011.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2024-09-02,,,,,,,
3388.0,Medal of Honor European Assault,Gamecube,1600.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2023-07-08,,,,,,,
8820.0,Daytona USA,Sega Dreamcast,6618.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2023-07-08,,,,,,,
3898.0,Rush 2,Nintendo 64,1979.0,Item only,Normal wear,,,0.0,1.0,2024-09-03,,,,,,,
10834.0,Tony Hawk Project 8,Playstation 3,1199.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2023-07-07,,,,,,,
2158190.0,Dead or Alive 2 Ultimate,Xbox,1157.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2023-07-07,,,,,,,
3925.0,Super Smash Bros.,Nintendo 64,4949.0,Item only,Normal wear,,,0.0,1.0,2024-09-02,,,,,,,
39944.0,Sonic the Hedgehog [Not for Resale],Sega Genesis,1050.0,Item only,Normal wear,,,0.0,1.0,2024-09-03,,,,,,,
12817.0,Ridge Racer Type 4,Playstation,4675.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2023-07-08,,,,,,,
49947.0,Ratchet Deadlocked [Greatest Hits],Playstation 2,1995.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2023-07-07,,,,ps2,,,
10057.0,Toy Commander,Sega Dreamcast,2435.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2023-07-08,,,,,,,
33379.0,Hitman Absolution,Playstation 3,781.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2024-09-02,,,,,,,
67899.0,Dead or Alive 3 [Platinum Hits],Xbox,998.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2023-07-07,,,,,,,
36258.0,Rise of the Tomb Raider,Xbox One,934.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2026-06-27,,,,,,,
4273.0,Bombing Islands,Playstation,799.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2023-07-08,,,,,,,
3766.0,Gameshark,Nintendo 64,1776.0,Item only,Normal wear,,,0.0,1.0,2024-09-03,,,,,,,
37587.0,Chrono Cross [Greatest Hits],Playstation,1611.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2023-07-08,,,,,,,
3915.0,Star Wars Rogue Squadron,Nintendo 64,1844.0,Item only,Normal wear,,,0.0,1.0,2024-09-03,,,,,,,
38381.0,Mario Paint [Mouse Bundle],Super Nintendo,3350.0,Item only,Normal wear,,,0.0,1.0,2024-09-02,,,,,,,
9252.0,LocoRoco,PSP,1245.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2024-09-03,,,,,,,
6662.0,The Matrix Path of Neo,Xbox,1378.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2023-07-07,,,,,,,
10613.0,Condemned Criminal Origins,Xbox 360,2599.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2024-09-02,,,,,,,
66751.0,Kirby's Dream Land [Player's Choice],GameBoy,2289.0,Item only,Torn label,,,0.0,1.0,2023-10-15,,,,,,,
36771.0,Deus Ex: Mankind Divided,Playstation 4,764.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2026-06-27,,,,,,,
6418.0,MX World Tour,Xbox,600.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2023-07-07,,,,,,,
37634.0,Final Fantasy IX [Greatest Hits],Playstation,1697.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2023-07-08,,,,,,,
2937.0,Metal Gear Solid,GameBoy Color,13999.0,Item only,Normal wear,,,0.0,1.0,2023-10-15,,,,,,,
66693.0,Namco Museum [Player's Choice],Gamecube,1125.0,"Item, Box, and Manual",Normal wear,,,0.0,1.0,2023-07-08,,,,,,,
